私,わたし,我,0
わたしたち,わたしたち,我们,3
あなた,あなた,你，妳,2
あの人,あのひと,他，她，那个人,2
皆さん,みなさん,各位，大家,2
～さん,～さん,～先生，～小姐，～女士,1
～ちゃん,～ちゃん,用于小孩的名字后,1
～君,～くん,～君（用于男孩的名字后）,1
～じん,～じん,～人（表国籍）,1
先生,せんせい,老师，教导者,3
教師,きょうし,教师,1
学生,がくせい,学生,0
会社員,かいしゃいん,公司职员,3
社員,しゃいん,～公司的职员（和公司名称一起使用）,1
銀行員,ぎんこういん,银行员,3
医者,いしゃ,医生,0
研究者,けんきゅうしゃ,研究人员,3
エンジニア,エンジニア,工程师,3
大学,だいがく,大学,0
病院,びょういん,医院,0
電気,でんき,电，电灯,1
だれ（どなた）,だれ（どなた）,谁（哪位）（“どなた”是“だれ”的礼貌形）,1
…歳,…さい,…岁,1
何歳,なんさい,几岁（おいくつ）（“おいくつ”是“なんさい”的礼貌形）,1
はい,はい,是，对,0
いいえ,いいえ,不，不是,3
失礼ですが,しつれいですが,冒昧请教一下,0
お名前は？,おなまえは？,您贵姓？,0
初めまして。,はじめまして。,初次见面。（第一次见面时的寒喧）,4
どうぞよろしく［お願いします］。,どうぞよろしく［おねがいします］。,请多关照。（第一次见面的问候语）,
こちらは～さんです。,こちらは～さんです。,这位是～先生/小姐。,
～から来ました。,～からきました。,我从～來。,
これ,これ,这（事物近己方）,0
それ,それ,那（事物近对方）,0
あれ,あれ,那（事物在远方）,0
この～,この～,这（近己方）,0
その～,その～,那（近对方）,0
あの～,あの～,那（远方）,0
本,ほん,书本，书籍,1
辞書,じしょ,词典,1
雑誌,ざっし,杂志,0
新聞,しんぶん,报纸,0
ノート,ノート,笔记本,1
手帳,てちょう,记事本,0
名刺,めいし,名片,0
カード,カード,卡片,1
鉛筆,えんぴつ,铅笔,0
ボールペン,ボールペン,原子笔,0
シャープペンシル,シャープペンシル,自动铅笔,4
かぎ,かぎ,钥匙,2
時計,とけい,钟表,0
傘,かさ,伞,1
かばん,かばん,书包，手提包，皮包,0
テープ,テープ,录音带,5
テープレコーダー,テープレコーダー,录音机,5
テレビ,テレビ,电视,1
ラジオ,ラジオ,收音机,1
カメラ,カメラ,照相机,1
コンピューター,コンピューター,电脑,3
自動車,じどうしゃ,汽车,2
机,つくえ,桌子,0
いす,いす,椅子,0
チョコレート,チョコレート,巧克力,3
コーヒー,コーヒー,咖啡,3
英語,えいご,英语,0
日本語,にほんご,日语,0
～語,～ご,～语,
何,なん,什么,1
そう,そう,是的,0
違います。,ちがいます。,不对。/不是。,
そうですか。,そうですか。,我了解了/是吗？,
あのう,あのう,嗯（用于表示躊躇）,
ほんのきもちです。,ほんのきもちです。,小意思。/只是一点心意。ほんの気持ちです。,
どうぞ。,どうぞ。,请。/给你,1
どうも。,どうも。,谢了。,1
［どうも］ありがとう［ございます］。,［どうも］ありがとう［ございます］。,（非常）谢谢你。,
ここ,ここ,这里，这个地方,0
そこ,そこ,那里，那个地方,0
あそこ,あそこ,那里，那个地方,0
どこ,どこ,哪里，哪个地方,1
こちら,こちら,这边（“ここ”的礼貌形）,0
そちら,そちら,那边（“そこ”的礼貌形）,0
あちら,あちら,那边（“あちら”的礼貌形）,0
どちら,どちら,哪边（“どこ”的礼貌形）,1
教室,きょうしつ,教室,0
食堂,しょくどう,餐厅，食堂,0
事務所,じむしょ,办公室,2
会議室,かいぎしつ,会议室,3
受付,うけつけ,传达室，接待,0
ロビー,ロビー,大厅，休息室,1
部屋,へや,房间,2
トイレ（お手洗い）,トイレ（おてあらい）,厕所（洗手间）,1
階段,かいだん,楼梯,0
エレベーター,エレベーター,电梯,3
［お］国,［お］くに,贵国,0
会社,かいしゃ,公司,0
うち,うち,家，房子,0
電話,でんわ,电话，电话呼叫,0
靴,くつ,鞋子,2
ネクタイ,ネクタイ,领带,1
ワイン,ワイン,葡萄酒,1
たばこ,たばこ,香烟,0
売り場,うりば,柜台，卖场,0
地下,ちか,地下,1
…階,…かい,…楼,1
何階,なんがい,几楼,1
…円,…えん,?日元,1
いくら,いくら,多少钱,1
百,ひゃく,百,2
千,せん,千,1
万,まん,万,1
起きます,おきます,起床，起来,
寝ます,ねます,睡觉，就寝,
働きます,はたらきます,工作,
休みます,やすみます,休息,
勉強します,べんきょうします,念书，用功,
終わります,おわります,结束,
デパート,デパート,百货公司,2
銀行,ぎんこう,银行,0
郵便局,ゆうびんきょく,邮局,3
図書館,としょかん,图书馆,2
美術館,びじゅつかん,美术馆,3
今,いま,现在,1
…時,…じ,…点（钟）,1
…分,…ふん（…ぷん）,…分（钟）,1
半,はん,半,1
何時,なんじ,几点,1
何分,なんぷん,几分,1
午前；早晨,ごぜん,上午,1
午後,ごご,下午,1
朝,あさ,早上,1
昼,ひる,白天，中午,2
晩（夜）,ばん（よる）,晚上，夜晚,0
おととい,おととい,前天,3
きのう,きのう,昨天,2
きょう,きょう,今天,1
あした,あした,明天,3
あさって,あさって,后天,2
けさ,けさ,今天早上,1
今晩,こんばん,今天晚上,1
休み,やすみ,休息，休假,3
昼休み,ひるやすみ,午休,3
毎朝,まいあさ,每天早上,1
毎晩,まいばん,每天晚上,1
毎日,まいにち,每天,1
月曜日,げつようび,星期一,3
火曜日,かようび,星期二,2
水曜日,すいようび,星期三,3
木曜日,もくようび,星期四,3
金曜日,きんようび,星期五,3
土曜日,どようび,星期六,2
日曜日,にちようび,星期天,3
何曜日,なんようび,星期几,3
番号,ばんごう,号码,3
何番,なんばん,几号,1
～から,～から,从～,
～まで,～まで,到～,
～と～,～と～,和（用于连接名词）,
そちら,そちら,那里,0
大変ですね。,たいへんですね。,够呛。/（表示同情和慰问对方的心情）,
え―と,え―と,嗯，我看看,
行きます,いきます,去,
来ます,きます,来,
帰ります,かえります,回家，回去,
学校,がっこう,学校,0
スーパー,スーパー,超级市场,1
駅,えき,车站;火车站,1
飛行機,ひこうき,飞机,2
船,ふね,船,1
電車,でんしゃ,电车,1
地下鉄,ちかてつ,地下铁,1
新幹線,しんかんせん,新干线,3
バス,バス,公车，巴士,1
タクシー,タクシー,计程车,1
自転車,じてんしゃ,自行车，脚踏车,2
歩いて,あるいて,步行,
人,ひと,人,0
友達,ともだち,朋友,0
彼,かれ,他，男朋友，情人,1
彼女,かのじょ,她，女朋友，情人,1
家族,かぞく,家人，家属,1
一人で,ひとりで,一个人，独自,
先週,せんしゅう,上周，上星期,0
今週,こんしゅう,本周，这星期,0
来週,らいしゅう,下周，下星期,0
先月,せんげつ,上个月,1
今月,こんげつ,这个月,0
来月,らいげつ,下个月,1
去年,きょねん,去年,1
ことし,ことし,今年,0
来年,らいねん,明年,0
…月,…がつ,…月,
何月,なんがつ,几月,1
1日,ついたち,1日，1号,0
2日,ふつか,2日，2号,0
3日,みっか,3日，3号,0
4日,よっか,4日，4号,0
5日,いつか,5日，5号,0
6日,むいか,6日，6号,0
7日,なのか,7日，7号,0
8日,ようか,8日，8号,0
9日,ここのか,9日，9号,0
10日,とおか,10日，10号,0
14日,じゅうよっか,14日，14号,
20日,はつか,20日，20号,
24日,にじゅうよっか,24日，24号,
…日,…にち,…日，…号,
何日,なんにち,几日，几号,
いつ,いつ,什么时候,1
誕生日,たんじょうび,生日,3
普通,ふつう,普通车,0
急行,きゅうこう,快车,0
次の,つぎの,下一个，下一次,0
食べます,たべます,吃,
飲みます,のみます,喝，饮，服用,
吸います,すいます,吸（烟）［たばこを～］,
見ます,みます,看,
聞きます,ききます,听,
読みます,よみます,阅读,
書きます,かきます,书写,
買います,かいます,购买,
撮ります,とります,拍（照），（摄影）［しゃしんを～］［写真を～］,
します,します,做,
会います,あいます,遇见，碰见（朋友）［ともだちに～］［友達に～］,
ごはん,ごはん,餐，米饭,1
朝ごはん,あさごはん,早餐,3
昼ごはん,ひるごはん,中餐,3
晩ごはん,ばんごはん,晚餐,3
パン,パン,面包,1
卵,たまご,鸡蛋,2
肉,にく,肉,2
魚,さかな,鱼,0
野菜,やさい,蔬菜,0
果物,くだもの,水果,2
水,みず,水,0
お茶,おちゃ,茶,0
紅茶,こうちゃ,红茶,0
牛乳,ぎゅうにゅう,牛奶（ミルク）,0
ジュース,ジュース,果汁,1
ビール,ビール,啤酒,1
［お］酒,［お］さけ,酒类，日本酒,0
ビデオ,ビデオ,录影带，录影机,1
映画,えいが,电影,1
CD,CD,CD，雷射唱盘,
手紙,てがみ,信,0
レポート,レポート,报告,2
写真,しゃしん,相片,0
店,みせ,商店,2
レストラン,レストラン,餐厅,1
庭,にわ,院子,0
宿題,しゅくだい,作业（～をします：做作业）,0
テニス,テニス,网球（～をします：打网球）,1
サッカー,サッカー,足球（～をします：踢足球）,1
［お］花見,［お］はなみ,赏花（～をします：去赏花）,3
何,なに,什么,1
いっしょに,いっしょに,一起,0
ちょっと,ちょっと,一下子，稍,1
いつも,いつも,总是,1
時々,ときどき,时常，有时,2
それから,それから,然后,4
ええ,ええ,是，嗯（表赞同）,
いいですね。,いいですね。,好呀。,
わかりました。,わかりました。,我明白了。/我知道了。,
切ります,きります,剪，切,
送ります,おくります,寄送,
あげます,あげます,给，送,
もらいます,もらいます,接受，得到,
貸します,かします,借（出）,
借ります,かります,借（入）,
教えます,おしえます,教,
習います,ならいます,学习,
かけます,かけます,打（电话）［でんわを～］［电話を～］,
手,て,手,1
はし,はし,筷子,1
スプーン,スプーン,汤匙,2
ナイフ,ナイフ,小刀,1
フォーク,フォーク,叉子,1
はさみ,はさみ,剪刀,3
ファクス,ファクス,传真,1
ワープロ,ワープロ,文字处理机,0
パソコン,パソコン,个人电脑,0
パンチ,パンチ,打孔机,1
ホッチキス,ホッチキス,订书机,1
セロテープ,セロテープ,透明胶带,3
消しゴム,けしゴム,橡皮擦,0
紙,かみ,纸,2
花,はな,花,2
シャツ,シャツ,衬衫,1
プレゼント,プレゼント,礼物,2
荷物,にもつ,行李,1
お金,おかね,钱,0
切符,きっぷ,票,0
クリスマス,クリスマス,圣诞节,3
父,ちち,家父,1
母,はは,家母,1
お父さん,おとうさん,（他人的）父亲,2
お母さん,おかあさん,（他人的）母亲,2
もう,もう,已经,1
まだ,まだ,尚未，还没有,1
これから,これから,从现在起，这就,4
「～、」すてきですね。,「～、」すてきですね。,〔～〕，好棒哟！,
ハンサム［な］,ハンサム［な］,英俊〔的〕,1
きれい［な］,きれい［な］,美丽（的），干净（的）,1
静か［な］,しずか［な］,安静（的）,1
にぎやか［な］,にぎやか［な］,热闹的,2
有名［な］,ゆうめい［な］,有名〔的〕,0
親切［な］,しんせつ［な］,亲切（的）,1
元気［な］,げんき［な］,身体好（的）,1
暇［な］,ひま［な］,空闲（的）,0
便利［な］,べんり［な］,方便〔的〕,1
すてき［な］,すてき［な］,很好〔的〕，很棒〔的〕,0
大きい,おおきい,大,3
小さい,ちいさい,小,3
新しい,あたらしい,新,4
古い,ふるい,旧,2
いい（よい）,いい（よい）,好,1
悪い,わるい,坏,2
暑い、熱い,あつい,热,2
寒い,さむい,寒冷,2
冷たい,つめたい,凉,3
難しい,むずかしい,难,4
易しい,やさしい,简单,3
高い,たかい,高，贵,2
安い,やすい,便宜,2
低い,ひくい,低，矮,2
おもしろい,おもしろい,有趣，有意思,4
おいしい,おいしい,美味，好吃,3
忙しい,いそがしい,忙碌,4
楽しい,たのしい,愉快，高兴,3
白い,しろい,白色的,2
黒い,くろい,黑色的,2
赤い,あかい,红色的,0
青い,あおい,蓝色的,2
桜,さくら,櫻花,0
山,やま,山,2
町,まち,城市，城镇,2
食べ物,たべもの,食物,3
車,くるま,汽车,0
所,ところ,场所，地方,3
寮,りょう,宿舍,1
勉強,べんきょう,学习，用功,0
生活,せいかつ,生活,0
［お］仕事,［お］しごと,工作，职业（～をします：工作）,0
どう,どう,怎样,1
どんな～,どんな～,什么样的～,1
どれ,どれ,哪个,1
とても,とても,很，非常,3
あまり,あまり,不太（用于否定句）,3
そして,そして,而且，还用（用于接续句子）,3
～が、～,～が、～,～，但是～,
お元気ですか。,おげんきですか。,你好吗？,
そうですね。,そうですね。,是呀（用于思考回答时）。,
わかります,わかります,了解，明白，懂,
あります,あります,有,
好き［な］,すき［な］,喜欢（的），爱好（的）,2
嫌い［な］,きらい［な］,讨厌（的），不喜欢（的）,0
上手［な］,じょうず［な］,好（的），高明（的）,3
下手［な］,へた［な］,不行〔的〕，笨拙〔的〕,2
料理,りょうり,料理，菜,1
飲み物,のみもの,饮料,3
スポーツ,スポーツ,运动，体育（～をします：做运动）,2
野球,やきゅう,棒球（～をします：打棒球）,0
ダンス,ダンス,跳舞，舞蹈（～をします：跳舞）,1
音楽,おんがく,音乐,1
歌,うた,歌曲，歌,2
クラシック,クラシック,古典音乐,3
ジャズ,ジャズ,爵士乐,1
コンサート,コンサート,音乐会，演奏会,1
カラオケ,カラオケ,卡拉OK,0
歌舞伎,かぶき,歌舞伎(日本的传统戏剧）,0
絵,え,画,1
字,じ,字,1
漢字,かんじ,汉字,0
ひらがな,ひらがな,平假名,3
かたかな,かたかな,片假名,3
ローマ字,ローマじ,罗马拼音,3
細かい(お金),こまかい(おかね),零钱,
チケット,チケット,票,1
時間,じかん,时间,0
用事,ようじ,（必须办的）事情，工作,0
約束,やくそく,约定，承诺,0
ご主人,ごしゅじん,（他人的）丈夫,2
夫／主人,おっと／しゅじん,（自己的）丈夫,1
奥さん,おくさん,（他人的）妻子,1
妻／家内,つま／かない,（自己的）妻子,1
子ども,こども,小孩,0
よく,よく,很，十分,1
だいたい,だいたい,大致，大概,0
たくさん,たくさん,很多,0
少し,すこし,少，稍微,2
全然,ぜんぜん,完全，一点也（用于否定句）,0
早く、速く,はやく,早些，快些,1
～から,～から,因为～,
残念です［ね］,ざんねんです［ね］。,真遗憾（呀）。,1
すみません。,すみません。,很抱歉。,
います,います,有，在（表示生物的存在）,
あります,あります,有，在（表示无生物的存在）,
いろいろ〔な〕,いろいろ〔な〕,各式各样〔的〕,0
男の人,おとこのひと,男子,3
女の人,おんなのひと,女子,3
男の子,おとこのこ,男孩,3
女の子,おんなのこ,女孩,3
犬,いぬ,狗,2
猫,ねこ,猫,1
木,き,树，木头,1
物,もの,物品，东西,2
フィルム,フィルム,底片，胶卷,1
電池,でんち,电池,1
箱,はこ,盒子,0
スイッチ,スイッチ,开关,2
冷蔵庫,れいぞうこ,冰箱,3
テーブル,テーブル,餐桌,0
べッド,べッド,床,1
棚,たな,架子,0
ドア,ドア,门,1
窓,まど,窗戶,1
ポスト,ポスト,邮筒，信箱,1
ビル,ビル,大厦，大楼,1
公園,こうえん,公园,0
喫茶店,きっさてん,咖啡馆,0
